fraction,name,similarity,sketch_kmers
0.03198706900596597,"ENA|CP000473|CP000473.1 Solibacter usitatus Ellin6076, complete genome.",0.9940000176429749,9804926
0.02197804975309944,"ENA|CP003364|CP003364.1 Singulisphaera acidiphila DSM 18658, complete genome.",0.7179999947547913,9326549
0.020337963295546806,"ENA|CP003130|CP003130.1 Granulicella mallensis MP5ACTX8, complete genome.",0.9959999918937683,6221633
0.01917686990574685,"ENA|CP001032|CP001032.1 Opitutus terrae PB90-1, complete genome.",0.984000027179718,5937982
0.018424969710554552,"ENA|CP000360|CP000360.1 Candidatus Koribacter versatilis Ellin345, complete genome.",1.0,5613879
0.016715461450800943,ENA|BX119912|BX119912.1 Rhodopirellula baltica SH 1 complete genome,0.7160000205039978,7113144
0.01641073635854376,"ENA|CP002467|CP002467.1 Terriglobus saanensis SP1PR4, complete genome.",0.9959999918937683,5020246
0.015289970677948647,"ENA|CP003379|CP003379.1 Terriglobus roseus DSM 18391, complete genome.",0.9959999918937683,4677390
0.01403294563205623,"ENA|CP002480|CP002480.1 Granulicella tundricola MP5ACTX9, complete genome.",0.9940000176429749,4301488
0.013716992981842117,"ENA|CP001848|CP001848.1 Pirellula staleyi DSM 6068, complete genome.",0.6800000071525574,6146194
0.013419819136568636,"ENA|FP929003|FP929003.1 Candidatus Nitrospira defluvii chromosome, complete genome.",0.9599999785423279,4259236
0.013365673747796396,"ENA|CP001364|CP001364.1 Chloroflexus sp. Y-400-fl, complete genome.",0.7940000295639038,5128928
0.01335232638886973,"ENA|CP001472|CP001472.1 Acidobacterium capsulatum ATCC 51196, complete genome.",0.9980000257492065,4076455
0.013281696026112781,"ENA|CP002546|CP002546.1 Planctomyces brasiliensis DSM 5305, complete genome.",0.6819999814033508,5933698
0.01293829445936067,"ENA|CP003301|CP003301.1 Escherichia coli O104:H4 str. 2009EL-2071, complete genome.",0.7639999985694885,5159884
0.012831370167795062,"ENA|AP009153|AP009153.1 Gemmatimonas aurantiaca T-27 DNA, complete genome.",0.8420000076293945,4643198
0.01278304894893361,"ENA|CP001744|CP001744.1 Planctomyces limnophilus DSM 3776, complete genome.",0.7239999771118164,5379627
0.01210879654202345,"ENA|CP002614|CP002614.1 Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1, complete genome.",0.7720000147819519,4779032
0.012048139903798336,"ENA|FN649414|FN649414.1 Escherichia coli ETEC H10407, complete genome",0.7300000190734863,5028673
0.012006283143915525,"ENA|CP001589|CP001589.1 Yersinia pestis D182038, complete genome.",0.8360000252723694,4375811
0.011934315412704484,"ENA|CP001998|CP001998.1 Coraliomargarita akajimensis DSM 45221, complete genome.",0.9679999947547913,3756457
0.011861111628060932,"ENA|AE017042|AE017042.1 Yersinia pestis biovar Microtus str. 91001, complete genome.",0.8320000171661377,4343685
0.011853170907694454,"ENA|CP000857|CP000857.1 Salmonella enterica subsp. enterica serovar Paratyphi C strain RKS4594, complete genome.",0.7620000243186951,4739536
0.011848501524977306,"ENA|CP002970|CP002970.1 Escherichia coli KO11FL, complete genome.",0.7680000066757202,4700656
0.011827699183249515,"ENA|CP004009|CP004009.1 Escherichia coli APEC O78, complete genome.",0.765999972820282,4704655
0.011766156081545777,"ENA|AP009048|AP009048.1 Escherichia coli str. K-12 substr. W3110 DNA, complete genome.",0.7820000052452087,4584417
0.01175857700762455,"ENA|CP002956|CP002956.1 Yersinia pestis A1122, complete genome.",0.8360000252723694,4285532
0.011713911200291633,"ENA|CP002353|CP002353.1 Isosphaera pallida ATCC 43644, complete genome.",0.6539999842643738,5457333
0.01151230909601244,"ENA|AE017220|AE017220.1 Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67, complete genome.",0.7480000257492065,4689398
0.011429332929615845,"ENA|CP000886|CP000886.1 Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7, complete genome.",0.7279999852180481,4783500
0.011187835760953502,ENA|FR878060|FR878060.1 Mycobacterium africanum GM041182 complete genome,0.7940000295639038,4293207
0.010998118342683914,"ENA|CP001144|CP001144.1 Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853, complete genome.",0.6980000138282776,4800862
0.010969513572980786,"ENA|CP001164|CP001164.1 Escherichia coli O157:H7 str. EC4115, complete genome.",0.6380000114440918,5238693
0.010819194330177782,ENA|HE608151|HE608151.1 Mycobacterium tuberculosis UT205 complete genome,0.7860000133514404,4194002
0.01075441173765148,"ENA|AP012306|AP012306.1 Escherichia coli str. K-12 substr. MDS42 DNA, complete genome.",0.828000009059906,3957424
0.010506690655979799,"ENA|HE616528|HE616528.1 Shigella sonnei 53G main chromosome, complete genome",0.6959999799728394,4599525
0.01039231593562189,"ENA|CP005386|CP005386.1 Mycobacterium tuberculosis CAS/NITR204, complete genome.",0.7379999756813049,4290543
0.010288376842600094,"ENA|CP001048|CP001048.1 Yersinia pseudotuberculosis PB1/+, complete genome.",0.6919999718666077,4529988
0.010134405350245379,"ENA|FM200053|FM200053.1 Salmonella enterica subsp. enterica serovar Paratyphi A str. AKU_12601 complete genome, strain AKU_12601",0.6759999990463257,4567808
0.009897670281744497,"ENA|CP002099|CP002099.1 Salmonella enterica subsp. enterica serovar Typhi str. Ty21a, complete genome.",0.6460000276565552,4668278
0.009754517686186272,ENA|FO203507|FO203507.1 Mycobacterium canettii CIPT 140060008 complete genome,0.6919999718666077,4294929
0.00933884558141673,"ENA|CP001383|CP001383.1 Shigella flexneri 2002017, complete genome.",0.6620000004768372,4298248
0.008718845418527426,"ENA|CP002514|CP002514.1 Chloracidobacterium thermophilum B chromosome 1, complete sequence.",0.9959999918937683,2667202
0.008700902413114556,"ENA|CP003034|CP003034.1 Escherichia coli O7:K1 str. CE10, complete genome.",0.5099999904632568,5198169
0.008355088583203099,"ENA|CP001071|CP001071.1 Akkermansia muciniphila ATCC BAA-835, complete genome.",0.9679999947547913,2629856
0.00811516928584943,"ENA|CP000863|CP000863.1 Acinetobacter baumannii ACICU, complete genome.",0.6499999761581421,3804000
0.008100218942433228,"ENA|CP001921|CP001921.1 Acinetobacter baumannii 1656-2, complete genome.",0.6499999761581421,3796992
0.007813345671025457,"ENA|CP003856|CP003856.1 Acinetobacter baumannii TYTH-1, complete genome.",0.6299999952316284,3778790
0.007717516328780211,"ENA|CP000034|CP000034.1 Shigella dysenteriae Sd197, complete genome.",0.6140000224113464,3829706
0.007285334132593392,"ENA|AP012342|AP012342.1 Leptospirillum ferrooxidans C2-3 DNA, complete genome.",0.8759999871253967,2533971
0.007198595459485484,"ENA|CP002919|CP002919.1 Leptospirillum ferriphilum ML-04, complete genome.",0.9240000247955322,2373734
0.007143347122850571,"ENA|AP012338|AP012338.1 Phycisphaera mikurensis NBRC 102666 DNA, complete genome.",0.5820000171661377,3739685
0.007028547462822133,ENA|FO203509|FO203509.1 Mycobacterium canettii CIPT 140070010 complete genome,0.49000000953674316,4370446
0.007025290438044643,"ENA|CP000975|CP000975.1 Methylacidiphilum infernorum V4, complete genome.",0.9480000138282776,2257939
0.00671074147516756,"ENA|CU459141|CU459141.1 Acinetobacter baumannii str. AYE, complete genome.",0.5379999876022339,3800533
0.00669744749789162,"ENA|CP001172|CP001172.1 Acinetobacter baumannii AB307-0294, complete genome.",0.5559999942779541,3670209
0.0065297586827677695,"ENA|CP001404|CP001404.1 Sulfolobus islandicus Y.N.15.51, complete genome.",0.7400000095367432,2688572
0.006378708988304247,"ENA|CP001399|CP001399.1 Sulfolobus islandicus L.S.2.15, complete genome.",0.7260000109672546,2677025
0.006191739349525732,"ENA|CP001731|CP001731.1 Sulfolobus islandicus L.D.8.5, complete genome.",0.7160000205039978,2634850
0.006164125191851125,"ENA|CP001401|CP001401.1 Sulfolobus islandicus M.16.27, complete genome.",0.7039999961853027,2667811
0.006079744267256858,"ENA|CP000875|CP000875.1 Herpetosiphon aurantiacus DSM 785, complete genome.",0.2939999997615814,6300779
0.0058841006209776415,"ENA|CP002425|CP002425.1 Sulfolobus islandicus REY15A, complete genome.",0.7279999852180481,2462663
0.0056489210079868485,"ENA|CP003928|CP003928.1 Sulfolobus islandicus LAL14/1, complete genome.",0.699999988079071,2458803
0.005572426951363643,"ENA|CP001097|CP001097.1 Chlorobium limicola DSM 245, complete genome.",0.6380000114440918,2661215
0.005267309899962997,"ENA|CP000686|CP000686.1 Roseiflexus sp. RS-1, complete genome.",0.2919999957084656,5496197
0.004855961347064352,"ENA|AP006841|AP006841.1 Bacteroides fragilis YCH46 DNA, complete genome.",0.2840000092983246,5209705
0.0047811892361449455,ENA|FQ312004|FQ312004.1 Bacteroides fragilis 638R genome.,0.2759999930858612,5278167
0.004776596037149848,"ENA|AP012337|AP012337.1 Caldilinea aerophila DSM 14535 = NBRC 104270 DNA, complete genome.",0.28600001335144043,5088722
0.00470582085560817,"ENA|CP000804|CP000804.1 Roseiflexus castenholzii DSM 13941, complete genome.",0.2619999945163727,5472558
0.004683478222053563,"ENA|CR626927|CR626927.1 Bacteroides fragilis NCTC 9343, complete genome",0.27799999713897705,5133103
0.004476521795927296,"ENA|CP001147|CP001147.1 Thermodesulfovibrio yellowstonii DSM 11347, complete genome.",0.7059999704360962,1931934
0.0037491661325301695,"ENA|CP001337|CP001337.1 Chloroflexus aggregans DSM 9485, complete genome.",0.2460000067949295,4643611
0.0036880050312198902,"ENA|CP000125|CP000125.1 Burkholderia pseudomallei 1710b chromosome II, complete sequence.",0.36000001430511475,3121370
0.003339184069833694,"ENA|BX571966|BX571966.1 Burkholderia pseudomallei strain K96243, chromosome 2, complete sequence.",0.32600000500679016,3120894
0.003261363675064002,"ENA|AP012029|AP012029.1 Anaerolinea thermophila UNI-1 DNA, complete genome.",0.2879999876022339,3450349
0.0031638435426287353,"ENA|CP003176|CP003176.1 Brucella abortus A13334 chromosome 1, complete sequence.",0.4560000002384186,2114007
0.0030831120605941684,"ENA|CP000803|CP000803.1 Francisella tularensis subsp. holarctica FTNF002-00, complete genome.",0.5260000228881836,1785911
0.0030774994112661826,"ENA|CP000437|CP000437.1 Francisella tularensis subsp. holarctica OSU18, complete genome.",0.5239999890327454,1789464
0.0028665312825099545,"ENA|CP003149|CP003149.1 Pseudomonas aeruginosa DK2, complete genome.",0.14000000059604645,6238568
